asm: 0; hack: 0000000000000000; instruction_number: 901
asm: 2; hack: 0000000000000010; instruction_number: 905
asm: 0; hack: 0000000000000000; instruction_number: 908
asm: 18886; hack: 0100100111000110; instruction_number: 912
asm: 38; hack: 0000000000100110; instruction_number: 914
asm: 3; hack: 0000000000000011; instruction_number: 916
asm: 9; hack: 0000000000001001; instruction_number: 918
asm: 13; hack: 0000000000001101; instruction_number: 920
asm: 0; hack: 0000000000000000; instruction_number: 922
asm: 13; hack: 0000000000001101; instruction_number: 925
asm: 31; hack: 0000000000011111; instruction_number: 928
asm: 3; hack: 0000000000000011; instruction_number: 930
asm: 0; hack: 0000000000000000; instruction_number: 933
asm: 2; hack: 0000000000000010; instruction_number: 937
asm: 0; hack: 0000000000000000; instruction_number: 940
asm: 21351; hack: 0101001101100111; instruction_number: 944
asm: 38; hack: 0000000000100110; instruction_number: 946
asm: 3; hack: 0000000000000011; instruction_number: 948
asm: 8; hack: 0000000000001000; instruction_number: 950
asm: 13; hack: 0000000000001101; instruction_number: 952
asm: 0; hack: 0000000000000000; instruction_number: 954
asm: 13; hack: 0000000000001101; instruction_number: 957
asm: 3; hack: 0000000000000011; instruction_number: 960
asm: 0; hack: 0000000000000000; instruction_number: 963
asm: 2; hack: 0000000000000010; instruction_number: 967
asm: 0; hack: 0000000000000000; instruction_number: 971
asm: 23398; hack: 0101101101100110; instruction_number: 975
asm: 38; hack: 0000000000100110; instruction_number: 977
asm: 3; hack: 0000000000000011; instruction_number: 979
asm: 9; hack: 0000000000001001; instruction_number: 981
asm: 13; hack: 0000000000001101; instruction_number: 983
asm: 0; hack: 0000000000000000; instruction_number: 985
asm: 13; hack: 0000000000001101; instruction_number: 988
asm: 2; hack: 0000000000000010; instruction_number: 991
asm: 0; hack: 0000000000000000; instruction_number: 993
asm: 1; hack: 0000000000000001; instruction_number: 997
asm: 0; hack: 0000000000000000; instruction_number: 1000
asm: 2; hack: 0000000000000010; instruction_number: 1004
asm: 13; hack: 0000000000001101; instruction_number: 1006
asm: 6822; hack: 0001101010100110; instruction_number: 1008
asm: 14; hack: 0000000000001110; instruction_number: 1010
asm: 32; hack: 0000000000100000; instruction_number: 1012
asm: 95; hack: 0000000001011111; instruction_number: 1014
asm: 1; hack: 0000000000000001; instruction_number: 1016
asm: 0; hack: 0000000000000000; instruction_number: 1019
asm: 0; hack: 0000000000000000; instruction_number: 1023
asm: 0; hack: 0000000000000000; instruction_number: 1028
asm: 3; hack: 0000000000000011; instruction_number: 1031
asm: 2; hack: 0000000000000010; instruction_number: 1037
asm: 0; hack: 0000000000000000; instruction_number: 1039
asm: 1; hack: 0000000000000001; instruction_number: 1043
asm: 0; hack: 0000000000000000; instruction_number: 1046
asm: 2; hack: 0000000000000010; instruction_number: 1050
asm: 13; hack: 0000000000001101; instruction_number: 1052
asm: 6822; hack: 0001101010100110; instruction_number: 1054
asm: 14; hack: 0000000000001110; instruction_number: 1056
asm: 33; hack: 0000000000100001; instruction_number: 1058
asm: 95; hack: 0000000001011111; instruction_number: 1060
asm: 0; hack: 0000000000000000; instruction_number: 1062
asm: 3; hack: 0000000000000011; instruction_number: 1065
asm: 2; hack: 0000000000000010; instruction_number: 1072
asm: 0; hack: 0000000000000000; instruction_number: 1074
asm: 1; hack: 0000000000000001; instruction_number: 1078
asm: 0; hack: 0000000000000000; instruction_number: 1081
asm: 1; hack: 0000000000000001; instruction_number: 1085
asm: 0; hack: 0000000000000000; instruction_number: 1088
asm: 0; hack: 0000000000000000; instruction_number: 1092
asm: 2; hack: 0000000000000010; instruction_number: 1097
asm: 13; hack: 0000000000001101; instruction_number: 1099
asm: 6822; hack: 0001101010100110; instruction_number: 1101
asm: 14; hack: 0000000000001110; instruction_number: 1103
asm: 34; hack: 0000000000100010; instruction_number: 1105
asm: 95; hack: 0000000001011111; instruction_number: 1107
asm: 0; hack: 0000000000000000; instruction_number: 1109
asm: 3; hack: 0000000000000011; instruction_number: 1112
